Status,"Kampagnen ID",Kampagne,Kategorie,Unterkategorien,URL,"Exklusiv bei TradeTracker","Tracking URL",CPM,Klick,Lead,iLead,"Sales (EUR)","iSales (EUR)","Sales (%)","iSales (%)","App install","App start",Segment,Registrierungsdatum,Änderungsdatum,"Deep Linking",CleanLinking,"Referenz Tracking",Produkt-Feed,Suchmaschinen-Marketing,"E-Mail Marketing",Cashback,"Gutschein-, Rabatt- und Angebotsseiten",Prepayment,Segmentierung,Cookie-Laufzeit,Startdatum,Enddatum,"Lead Attritbution Modell","Verglichen mit den letzten 30 Tagen","Sales Attribution Modell","Verglichen mit den letzten 30 Tagen"
"Nicht angemeldet",#21695,"Ameron Hotels","Reisen und Urlaub","Reisen und Urlaub > Reiseprodukte, Reisen und Urlaub > Hotels, Reisen und Urlaub > Städtereisen",https://www.ameronhotels.com/de,nein,https://tc.tradetracker.net/?c=21695&m=0&a=390329,-,-,-,-,-,-,"5,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",27.01.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#30180,"Aminess Hotels & Campsites","Reisen und Urlaub",,https://www.aminess.com/de/,nein,https://tc.tradetracker.net/?c=30180&m=0&a=390329,-,-,-,-,-,-,"4,00 %",-,-,-,-,,,ja,nein,ja,nein,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",19.03.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#25855,Arbeitsschutzweb.com,"Mode und Accessoires",,https://www.arbeitsschutzweb.com/,ja,https://www.arbeitsschutzweb.com/mode/?tt=25855_0_390329_,-,-,-,-,-,-,"7,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"60 Tage",19.06.17,31.03.21,Klassisch,-,"Time Decay",-
"Nicht angemeldet",#1206,Ardoer.com,"Reisen und Urlaub","Reisen und Urlaub > Camping-Reisen, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Aktivreisen, Reisen und Urlaub > Kinderreisen",https://www.ardoer.com/de/,nein,https://www.ardoer.com/tt/de/?tt=1206_0_390329_,-,-,-,-,-,-,"5,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",01.04.09,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#22851,ArenaHotels.com,"Reisen und Urlaub","Reisen und Urlaub > Fernreisen, Reisen und Urlaub > Städtereisen, Reisen und Urlaub > Hotels, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Singlereisen, Reisen und Urlaub > Sportreisen, Reisen und Urlaub > Reiseprodukte",https://www.arenahotels.com/de,nein,https://tc.tradetracker.net/?c=22851&m=0&a=390329,-,-,-,-,-,-,"4,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",04.05.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#22416,"argus identcheck","Persönliche Internetdienstleistungen","Sonstiges > Umfragen, Hard- und Software > Software, Persönliche Internetdienstleistungen > Verkaufsangebote",https://www.identcheck.net/,nein,https://tc.tradetracker.net/?c=22416&m=0&a=390329,-,-,-,-,-,-,"28,00 %",-,-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"100 Tage",10.03.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#25147,"A-ROSA Resorts","Reisen und Urlaub","Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Winterurlaub, Reisen und Urlaub > Städtereisen, Reisen und Urlaub > Reiseprodukte, Reisen und Urlaub > Hotels, Reisen und Urlaub > Aktivreisen",https://www.a-rosa-resorts.de/,nein,https://www.a-rosa-resorts.de/urlaub/?tt=25147_0_390329_,-,-,-,-,"100,00 €",-,"4,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,"Nicht gestattet",Eingeschränkt,nein,automatisch,"100 Tage",23.02.17,,Klassisch,-,Klassisch,-
Akzeptiert,#33617,Ateljem.de,"Wohnen, Haus und Garten",,https://www.ateljem.de/,ja,https://tc.tradetracker.net/?c=33617&m=0&a=390329,-,-,-,-,-,-,"9,10 %",-,-,-,Allgemein,18.01.21,21.01.21,ja,nein,ja,ja,"Nicht gestattet",Erlaubt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",05.01.21,,Benutzerdefiniert,-,Benutzerdefiniert,-
"Nicht angemeldet",#23726,Axami-Shop.de,"Mode und Accessoires","Mode und Accessoires > Damen, Erotik > Erotikprodukte, Mode und Accessoires > Dessous, Mode und Accessoires > Übergrößen, Mode und Accessoires > Nachtwäsche",https://www.axami-shop.de/,nein,https://www.axami-shop.de/dessous/?tt=23726_0_390329_,-,-,-,-,-,-,"7,00 %",-,-,-,-,,,ja,nein,ja,ja,Erlaubt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",22.09.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#5775,BademantelParadies,"Mode und Accessoires","Mode und Accessoires > Kinderkleidung, Mode und Accessoires > Badekleidung, Mode und Accessoires > Damen, Mode und Accessoires > Jugend, Mode und Accessoires > Herren",https://www.bademantelparadies.de/,ja,https://www.bademantelparadies.de/tradetracker/?tt=5775_0_390329_,-,-,-,-,-,-,"6,00 %","6,00 %",-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Eingeschränkt,Erlaubt,nein,manuell,"100 Tage",09.10.15,,Klassisch,-,Klassisch,-
