Status,"Kampagnen ID",Kampagne,Kategorie,Unterkategorien,URL,"Exklusiv bei TradeTracker","Tracking URL",CPM,Klick,Lead,iLead,"Sales (EUR)","iSales (EUR)","Sales (%)","iSales (%)","App install","App start",Segment,Registrierungsdatum,Änderungsdatum,"Deep Linking",CleanLinking,"Referenz Tracking",Produkt-Feed,Suchmaschinen-Marketing,"E-Mail Marketing",Cashback,"Gutschein-, Rabatt- und Angebotsseiten",Prepayment,Segmentierung,Cookie-Laufzeit,Startdatum,Enddatum,"Lead Attritbution Modell","Verglichen mit den letzten 30 Tagen","Sales Attribution Modell","Verglichen mit den letzten 30 Tagen"
"Nicht angemeldet",#25175,Brouwland.com,"Essen und Trinken","Essen und Trinken > Alkohol, Elektronik > Küche, Geschenke und Gadgets > Geschenke, Elektronik > Haushaltswaren, Bücher, Zeitungen und Magazine > Bücher",https://www.brouwland.com/de,nein,https://www.brouwland.com/de/bierbrauen/?tt=25175_0_390329_,-,-,-,-,-,-,"4,20 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"30 Tage",11.04.17,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#3695,Brunotti.com,"Mode und Accessoires","Mode und Accessoires > Handtaschen und Portemonnaies, Mode und Accessoires > Kinderkleidung, Mode und Accessoires > Schuhe und Stiefel, Sport und Freizeit > Sportausstattung, Sport und Freizeit > Kleidung und Schuhe, Mode und Accessoires > Sonnenbrillen, Mode und Accessoires > Jugend",https://www.brunotti.com/de,nein,https://www.brunotti.com/shopde/?tt=3695_0_390329_,-,-,-,-,-,-,"6,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",21.09.10,28.02.21,Klassisch,-,Klassisch,-
"Nicht angemeldet",#30477,Budgetlight.de,"Wohnen, Haus und Garten","Wohnen, Haus und Garten > Lampen und Licht, Wohnen, Haus und Garten > Wohnungseinrichtung",https://www.budgetlight.de,nein,https://www.budgetlight.de/lightingurl/?tt=30477_0_390329_,-,-,-,-,-,-,"7,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet","Nicht gestattet",Erlaubt,Erlaubt,nein,manuell,"100 Tage",07.10.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#2653,Buero-Bedarf-Thueringen.de,Büro,"Hard- und Software > Software, Hard- und Software > Hardware, Büro > Büromaterial, Büro > Büromöbel, Hard- und Software > Drucker und Druckerpatronen",https://www.buero-bedarf-thueringen.de,ja,https://www.buero-bedarf-thueringen.de/ttbuero/?tt=2653_0_390329_,-,-,-,-,-,-,"3,08 %","3,08 %",-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"10 Tage",11.11.09,,"Position (40/20/40)",-,"Position (40/20/40)",-
"Nicht angemeldet",#1162,Bungalow.net,"Reisen und Urlaub","Reisen und Urlaub > Camping-Reisen, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Ferienwohnungen, Reisen und Urlaub > Hotels, Reisen und Urlaub > Ferienparks",https://www.bungalow.net/de/,ja,https://tc.tradetracker.net/?c=1162&m=0&a=390329,-,-,-,-,-,-,"6,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"100 Tage",05.11.07,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#24914,Cafago.com,"Hard- und Software",,https://www.cafago.com,nein,https://tc.tradetracker.net/?c=24914&m=0&a=390329,-,-,-,-,-,-,"6,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"100 Tage",17.02.17,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#19091,Callparts.de,"Autos, Motorräder und Zubehör","Autos, Motorräder und Zubehör > Autoverkäufe, Autos, Motorräder und Zubehör > Zubehör und Teile",https://www.callparts.de/,nein,https://www.callparts.de/ersatzteile/?tt=19091_0_390329_,-,-,-,-,-,-,"3,00 %","3,00 %",-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,"Nicht gestattet",Erlaubt,nein,manuell,"45 Tage",30.06.15,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#21729,Canvasholidays.de,"Reisen und Urlaub",,https://www.canvasholidays.de/,ja,https://www.canvasholidays.de/reisen/default.aspx?tt=21729_0_390329_,-,-,-,-,-,-,"6,80 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,"Nicht gestattet",nein,automatisch,"30 Tage",06.04.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#27629,CARFAX,"Autos, Motorräder und Zubehör","Autos, Motorräder und Zubehör > Autoverkäufe",https://www.carfax.eu/de,nein,https://tc.tradetracker.net/?c=27629&m=0&a=390329,-,-,-,-,-,-,"21,00 %",-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",13.04.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#33544,casimum.de,"Wohnen, Haus und Garten","Wohnen, Haus und Garten > Wohnungseinrichtung, Wohnen, Haus und Garten > Betten und Bettzeug, Wohnen, Haus und Garten > Haus & Garten",https://casimum.de/shop,ja,https://tc.tradetracker.net/?c=33544&m=0&a=390329,-,-,-,-,-,-,"10,50 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Erlaubt,Erlaubt,Eingeschränkt,nein,manuell,"30 Tage",02.12.20,,Klassisch,-,Klassisch,-
Akzeptiert,#33652,"CBD EU Trade","Gesundheit und Schönheit","Gesundheit und Schönheit > Eigenversuch, Gesundheit und Schönheit > Nahrungsergänzungsmittel",https://www.cbd-liquid-oil.de,ja,https://tc.tradetracker.net/?c=33652&m=0&a=390329,-,-,-,-,-,-,"21,00 %",-,-,-,Allgemein,02.01.21,,ja,nein,ja,ja,Erlaubt,Erlaubt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",26.11.20,,Klassisch,-,"Position (40/20/40)",-
"Nicht angemeldet",#27359,"CBD Öl kaufen","Gesundheit und Schönheit","Gesundheit und Schönheit > Eigenversuch, Gesundheit und Schönheit > Arzneimittel, Gesundheit und Schönheit > Gesundheitsvorsorge",https://cbdolkaufen.de/,ja,https://tc.tradetracker.net/?c=27359&m=0&a=390329,-,-,-,-,-,-,"17,50 %",-,-,-,-,,,ja,nein,ja,ja,Erlaubt,Erlaubt,Erlaubt,Erlaubt,nein,manuell,"14 Tage",18.12.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#22525,Chaletonline.de,"Reisen und Urlaub","Reisen und Urlaub > Winterurlaub, Reisen und Urlaub > Ferienwohnungen, Reisen und Urlaub > Fernreisen, Reisen und Urlaub > Rundreisen, Reisen und Urlaub > Sportreisen, Reisen und Urlaub > Reiseprodukte",https://www.chaletonline.de,ja,https://tc.tradetracker.net/?c=22525&m=0&a=390329,-,-,"1,50 €",-,"30,00 €",-,-,-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,automatisch,"40 Tage",27.08.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#29053,CharlieTemple.de,"Mode und Accessoires","Mode und Accessoires > Accessoires, Mode und Accessoires > Herren, Mode und Accessoires > Damen, Mode und Accessoires > Sonnenbrillen",https://www.charlietemple.com,ja,https://tc.tradetracker.net/?c=29053&m=0&a=390329,-,-,-,-,-,-,"10,50 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Eingeschränkt,"Nicht gestattet",nein,manuell,"30 Tage",04.10.18,,Klassisch,-,"Position (40/20/40)",-
"Nicht angemeldet",#30957,"CheckForPet - Probierbox",Tiere,,https://www.checkforpet.de/probierboxen,nein,https://tc.tradetracker.net/?c=30957&m=0&a=390329,-,-,-,-,-,-,"35,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Eingeschränkt,Erlaubt,nein,manuell,"60 Tage",24.07.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#28160,Checkfrank.de,Warenhäuser,"Sport und Freizeit > Fitness, Sport und Freizeit > Boxen, Sport und Freizeit > Radfahren, Spaß und Spiele > Freizeitspiele, Sport und Freizeit > Sportausstattung, Büro > Büromaterial, Wohnen, Haus und Garten > Lampen und Licht, Wohnen, Haus und Garten > Bett- und Tischwäsche, Wohnen, Haus und Garten > Sicherheitsprodukte, Wohnen, Haus und Garten > Garten, Tiere > Aquarien und Teiche, Autos, Motorräder und Zubehör > Zubehör und Teile, Sport und Freizeit > Outdoor, Wohnen, Haus und Garten > Möbel und Interior, Sport und Freizeit > Fußball, Hobby und Freizeit > Outdoor, Elektronik > Fotos und Video",https://www.checkfrank.de/,nein,https://www.checkfrank.de/t/frank/?tt=28160_0_390329_,-,-,-,-,-,-,"3,50 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"30 Tage",28.08.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#23432,"Check.Toys - Sextoys, BDSM & Fetisch",Erotik,"Mode und Accessoires > Herren, Erotik > Erotikprodukte, Sonstiges > Auktionen und Deals, Sport und Freizeit > Boxen, Mode und Accessoires > Accessoires, Persönliche Internetdienstleistungen > Verkaufsangebote, Kunst und Lifestyle > Lifestyle, Mode und Accessoires > Badekleidung, Mode und Accessoires > Dessous, Erotik > Adult Dating",https://check.toys,nein,https://check.toys/erotik/?tt=23432_0_390329_,-,-,-,-,-,-,"15,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",21.06.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#26763,Clickmeeting.com,"Hard- und Software","Gewerbe > Drucken, Hard- und Software > Software",https://www.clickmeeting.com,nein,https://tc.tradetracker.net/?c=26763&m=0&a=390329,-,-,-,-,-,-,"23,10 %",-,-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"120 Tage",09.10.17,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#27209,Colorland.com,"Kunst und Lifestyle","Kunst und Lifestyle > Poster und Bilder, Kunst und Lifestyle > Leinwände, Geschenke und Gadgets > Saisonal, Kunst und Lifestyle > Fotoprodukte, Geschenke und Gadgets > Gadgets, Geschenke und Gadgets > Geschenke, Kunst und Lifestyle > Kunst, Kunst und Lifestyle > Lifestyle, Geschenke und Gadgets > Glückwunschkarten, Kunst und Lifestyle > Fotoalben",https://promo.colorland.com/de/affiliate,ja,https://www.colorland.com/colouringbooks/?tt=27209_0_390329_,-,-,-,-,-,-,"14,00 %","14,00 %",-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",27.11.17,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#28830,Cookinglife.de,"Essen und Trinken","Elektronik > Gesundheitsvorsorge, Elektronik > Küche, Wohnen, Haus und Garten > Küche, Geschenke und Gadgets > Geschenke",https://www.cookinglife.de,ja,https://tc.tradetracker.net/?c=28830&m=0&a=390329,-,-,-,-,-,-,"8,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,manuell,"100 Tage",08.10.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#24111,Coolshop.de,Warenhäuser,"Mode und Accessoires > Herren, Gesundheit und Schönheit > Diät, Gesundheit und Schönheit > Kosmetik & Hautpflege, Gesundheit und Schönheit > Parfüme und Aftershave, Mode und Accessoires > Sportkleidung, Hobby und Freizeit > Outdoor, Kunst und Lifestyle > Kunst, Hard- und Software > Hardware, Wohnen, Haus und Garten > Grillen, Wohnen, Haus und Garten > Haus & Garten, Geschenke und Gadgets > Glückwunschkarten, Mode und Accessoires > Damen, Geschenke und Gadgets > Saisonal, Wohnen, Haus und Garten > Garten, Kunst und Lifestyle > Lifestyle, Mode und Accessoires > Badekleidung, Geschenke und Gadgets > Gadgets, Geschenke und Gadgets > Geschenke, Wohnen, Haus und Garten > Bad- und Sanitäreinrichtungen, Sport und Freizeit > Boxen, Wohnen, Haus und Garten > Bett- und Tischwäsche, Spaß und Spiele > Games und Spielekonsolen, Wohnen, Haus und Garten > Küche, Spaß und Spiele > Freizeitspiele, Sport und Freizeit > Tennis, Wohnen, Haus und Garten > Haustechnik, Mode und Accessoires > Accessoires, Wohnen, Haus und Garten > Möbel und Interior, Kunst und Lifestyle > Poster und Bilder, Wohnen, Haus und Garten > Lampen und Licht, Wohnen, Haus und Garten > Wohnungseinrichtung, Elektronik > Audio und Video, Mode und Accessoires > Jugend, Elektronik > Fotos und Video, Kunst und Lifestyle > Leinwände, Elektronik > Computer, Elektronik > Telefone, Mode und Accessoires > Outlet, Elektronik > Haushaltswaren, Elektronik > Küche, Mode und Accessoires > Sonnenbrillen, Elektronik > Zubehör, Sport und Freizeit > Lauf- und Cross-Training, Elektronik > Multimedia, Sport und Freizeit > Wintersport, Mode und Accessoires > Handtaschen und Portemonnaies, Wohnen, Haus und Garten > Betten und Bettzeug, Mode und Accessoires > Schmuck und Uhren, Sport und Freizeit > Kleidung und Schuhe, Mode und Accessoires > Schuhe und Stiefel, Sport und Freizeit > Fitness, Sport und Freizeit > Nahrungsergänzungsmittel, Mode und Accessoires > Nachtwäsche, Mode und Accessoires > Dessous, Sport und Freizeit > Golf, Sport und Freizeit > Fußball, Sport und Freizeit > Sportausstattung, Mode und Accessoires > Kinderkleidung, Sport und Freizeit > Radfahren, Sport und Freizeit > Outdoor, Sport und Freizeit > Hockey",https://www.coolshop.de/,nein,https://www.coolshop.de/tt/?tt=24111_0_390329_,-,-,-,-,-,-,"4,55 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"15 Tage",07.10.16,,"Last Touch Point",-,Klassisch,-
"Nicht angemeldet",#8239,"Corinthia Hotels","Reisen und Urlaub","Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Hotels, Reisen und Urlaub > Winterurlaub, Reisen und Urlaub > Städtereisen",https://www.corinthia.com,nein,https://tc.tradetracker.net/?c=8239&m=0&a=390329,-,-,-,-,-,-,"5,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",06.07.12,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#31574,Costway,"Wohnen, Haus und Garten",,https://www.costway.de/,ja,https://www.costway.de/home/?tt=31574_0_390329_,-,-,-,-,-,-,"5,25 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Eingeschränkt,Erlaubt,nein,manuell,"30 Tage",01.11.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#21976,Create-and-Wall.de,"Wohnen, Haus und Garten","Wohnen, Haus und Garten > Möbel und Interior, Wohnen, Haus und Garten > Haustechnik, Wohnen, Haus und Garten > Wohnungseinrichtung, Wohnen, Haus und Garten > Sicherheitsprodukte",https://www.create-and-wall.de,nein,https://www.create-and-wall.de/folie/?tt=21976_0_390329_,-,-,-,-,-,-,"6,00 %",-,-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"60 Tage",27.01.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#22484,"CUPPABOX - Tee und Kaffeebox","Essen und Trinken","Essen und Trinken > Organische Produkte, Elektronik > Küche",https://www.cuppabox.de/,ja,https://www.cuppabox.de/tee/?tt=22484_0_390329_,-,-,-,-,-,-,"10,00 %",-,-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",29.03.16,,Klassisch,-,Benutzerdefiniert,-
"Nicht angemeldet",#33157,"DAA - Heizungsfinder.de","Wohnen, Haus und Garten","Wohnen, Haus und Garten > Haustechnik, Wohnen, Haus und Garten > Wohnungseinrichtung, Wohnen, Haus und Garten > Bad- und Sanitäreinrichtungen, Wohnen, Haus und Garten > Haus & Garten",https://www.heizungsfinder.de,nein,https://www.heizungsfinder.de/heizen/?tt=33157_0_390329_,-,-,"16,80 €",-,-,-,-,-,-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,automatisch,"100 Tage",26.11.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#33158,"DAA - Solaranlagen-Portal.com","Wohnen, Haus und Garten","Wohnen, Haus und Garten > Wohnungseinrichtung, Wohnen, Haus und Garten > Haus & Garten, Wohnen, Haus und Garten > Haustechnik",https://www.solaranlagen-portal.com,nein,https://www.solaranlagen-portal.com/sonnenenergie/?tt=33158_0_390329_,-,-,"14,00 €",-,-,-,-,-,-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,"Nicht gestattet",Erlaubt,nein,manuell,"100 Tage",26.11.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#33159,"DAA - www.Daemmen-und-Sanieren.de","Wohnen, Haus und Garten","Wohnen, Haus und Garten > Boden und Pflaster, Wohnen, Haus und Garten > Haus & Garten, Wohnen, Haus und Garten > Wohnungseinrichtung, Wohnen, Haus und Garten > Haustechnik, Wohnen, Haus und Garten > Garten, Wohnen, Haus und Garten > Bad- und Sanitäreinrichtungen",https://www.daemmen-und-sanieren.de,nein,https://www.daemmen-und-sanieren.de/sanierung/?tt=33159_0_390329_,-,-,"11,20 €",-,-,-,-,-,-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,automatisch,"100 Tage",26.11.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#32875,"DanCenter DE","Reisen und Urlaub","Reisen und Urlaub > Ferienparks, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Ferienwohnungen",https://www.dancenter.de/,nein,https://www.dancenter.de/tradetracker/?tt=32875_0_390329_,-,-,-,-,-,-,"4,50 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"7 Tage",21.08.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#15258,"Danubius Hotels","Reisen und Urlaub","Reisen und Urlaub > Städtereisen, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Hotels",http://www.danubiushotels.com/de,nein,https://tc.tradetracker.net/?c=15258&m=0&a=390329,-,-,-,-,-,-,"5,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",09.04.14,,Klassisch,-,Klassisch,-
Akzeptiert,#23220,DealBanana.de,"Angebot des Tages und Gruppen-Deals","Geschenke und Gadgets > Gadgets, Geschenke und Gadgets > Geschenke, Geschenke und Gadgets > Saisonal, Persönliche Internetdienstleistungen > Verkaufsangebote",https://www.dealbanana.de,ja,https://tc.tradetracker.net/?c=23220&m=0&a=390329,-,-,-,-,-,-,"10,00 %",-,-,-,Allgemein,31.12.20,,ja,nein,ja,ja,Erlaubt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",14.06.16,,Benutzerdefiniert,-,Benutzerdefiniert,-
"Nicht angemeldet",#16275,"DealeXtreme DE","Geschenke und Gadgets","Elektronik > Computer, Elektronik > Telefone, Elektronik > Haushaltswaren, Elektronik > Zubehör",https://www.dx.com,nein,https://tc.tradetracker.net/?c=16275&m=0&a=390329,-,-,-,-,-,-,"3,85 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,ja,automatisch,"30 Tage",25.07.14,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#25707,Def-Shop.com,"Mode und Accessoires","Mode und Accessoires > Accessoires, Mode und Accessoires > Schuhe und Stiefel, Mode und Accessoires > Herren, Mode und Accessoires > Jugend, Mode und Accessoires > Damen",https://www.def-shop.com,nein,https://tc.tradetracker.net/?c=25707&m=0&a=390329,-,-,-,-,-,-,"8,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Eingeschränkt,nein,automatisch,"30 Tage",21.06.17,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#18512,Desigual.com,"Mode und Accessoires","Mode und Accessoires > Damen, Mode und Accessoires > Handtaschen und Portemonnaies, Mode und Accessoires > Herren",https://www.desigual.com/de_DE,nein,https://tc.tradetracker.net/?c=18512&m=0&a=390329,-,-,-,-,-,-,"7,70 %","6,16 %",-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",11.05.15,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#17128,Diamondoro.de,"Mode und Accessoires","Mode und Accessoires > Schmuck und Uhren, Mode und Accessoires > Accessoires, Mode und Accessoires > Damen",https://www.diamondoro.de,nein,https://tc.tradetracker.net/?c=17128&m=0&a=390329,-,-,-,-,-,-,"6,00 %","6,00 %",-,-,-,,,ja,nein,ja,ja,Erlaubt,Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"60 Tage",25.11.14,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#32967,discountfutter.shop,Tiere,,https://www.discountfutter.shop/,nein,https://tc.tradetracker.net/?c=32967&m=0&a=390329,-,-,-,-,-,-,"7,00 %","7,00 %",-,-,-,,,ja,nein,ja,ja,Erlaubt,Erlaubt,Erlaubt,Erlaubt,nein,automatisch,"100 Tage",25.09.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#21323,Djoser.de,"Reisen und Urlaub","Reisen und Urlaub > Sportreisen, Reisen und Urlaub > Abenteuerreisen, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Rundreisen, Reisen und Urlaub > Aktivreisen",https://www.djoser.de/,nein,https://www.djoser.de/urlaub/?tt=21323_0_390329_,-,-,"1,50 €",-,-,-,"2,40 %","2,40 %",-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,automatisch,"45 Tage",17.11.15,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#33259,"DOG FIT",Tiere,"Tiere > Haustierfutter, Tiere > Katzen und Hunde",https://www.dog-fit.com/,nein,https://www.dog-fit.com/dogs/?tt=33259_0_390329_,-,-,-,-,-,-,"5,60 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Erlaubt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",13.11.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#26817,Doggy-dinner.de,Tiere,"Tiere > Katzen und Hunde, Tiere > Haustierfutter",https://doggy-dinner.de/,nein,https://tc.tradetracker.net/?c=26817&m=0&a=390329,-,-,"1,85 €",-,-,-,-,-,-,-,-,,,ja,nein,ja,nein,Erlaubt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",20.10.17,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#22299,DOGO-Shoes.com,"Mode und Accessoires","Mode und Accessoires > Accessoires, Mode und Accessoires > Kinderkleidung, Mode und Accessoires > Handtaschen und Portemonnaies, Mode und Accessoires > Schuhe und Stiefel, Mode und Accessoires > Damen",https://www.dogo-shoes.com,nein,https://www.dogo-shoes.com/shoe/?tt=22299_0_390329_,-,-,-,-,-,-,"10,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",25.10.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#1160,Dokteronline.com,"Gesundheit und Schönheit","Gesundheit und Schönheit > Arzneimittel, Gesundheit und Schönheit > Gesundheitsvorsorge, Gesundheit und Schönheit > Vitamine, Gesundheit und Schönheit > Nahrungsergänzungsmittel, Gesundheit und Schönheit > Diät",https://www.dokteronline.com/de/,nein,https://www.dokteronline.com/online/apotheke/?tt=1160_0_390329_,-,-,-,-,"7,00 €",-,"10,00 %","10,00 %",-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,"Nicht gestattet",Erlaubt,nein,automatisch,"30 Tage",12.11.07,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#27695,"Dr. Jetske Ultee","Gesundheit und Schönheit","Gesundheit und Schönheit > Kosmetik & Hautpflege",https://www.dr-jetskeultee.de/,nein,https://tc.tradetracker.net/?c=27695&m=0&a=390329,-,-,-,-,-,-,"7,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",26.02.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#32952,"DYH - Design your Home","Wohnen, Haus und Garten",,https://www.dyh.com/de,ja,https://tc.tradetracker.net/?c=32952&m=0&a=390329,-,-,-,-,-,-,"7,00 %","7,00 %",-,-,-,,,ja,nein,ja,ja,Erlaubt,Erlaubt,Erlaubt,Erlaubt,nein,automatisch,"100 Tage",11.09.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#4766,Easy2coach.net,"Sport und Freizeit","Sport und Freizeit > Fußball",https://www.easy2coach.net/,ja,https://www.easy2coach.net/tt/?tt=4766_0_390329_,-,-,"1,00 €",-,-,-,"30,00 %",-,-,-,-,,,ja,nein,ja,nein,"Nicht gestattet",Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,manuell,"30 Tage",21.07.11,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#30562,"E-Bike Gewinnspiel","Gratis und Gewinnspiele",,https://www.promoba.de/?c=10175&d=11&k=ebk,nein,https://tc.tradetracker.net/?c=30562&m=0&a=390329,-,-,"2,00 €",-,-,-,-,-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,"Nicht gestattet",Eingeschränkt,nein,manuell,"100 Tage",21.05.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#32734,Edwaybuy,Elektronik,,https://de.edwaybuy.com/,nein,https://tc.tradetracker.net/?c=32734&m=0&a=390329,-,-,-,-,-,-,"2,80 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"100 Tage",15.06.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#32049,Efteling,"Reisen und Urlaub","Reisen und Urlaub > Hotels, Reisen und Urlaub > Winterurlaub, Reisen und Urlaub > Freizeitparks, Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Parken, Reisen und Urlaub > Tickets, Reisen und Urlaub > Ferienparks",https://www.efteling.com/de,ja,https://tc.tradetracker.net/?c=32049&m=0&a=390329,-,-,-,-,-,-,"5,60 %",-,-,-,-,,,ja,nein,ja,nein,"Nicht gestattet",Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,manuell,"100 Tage",07.02.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#31616,"Ensana Hotels","Reisen und Urlaub","Reisen und Urlaub > Hotels",https://www.ensanahotels.com/de,nein,https://tc.tradetracker.net/?c=31616&m=0&a=390329,-,-,-,-,-,-,"5,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",30.10.19,,Klassisch,-,Klassisch,-
